OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id
"616",-31.3799361908,121.435612966,129122.09332,"366","111",AUS.WA.COO,Coolgardie,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"617",-25.2677704281,127.960207094,47032.0536647,"27","112",AUS.WA.CR,Central Ranges,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"618",-18.1479796112,123.403516166,83711.3608462,"290","113",AUS.WA.DL,Dampierland,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"619",-33.8949008304,120.535971417,29067.9320141,"627","114",AUS.WA.ESP,Esperance Plains,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"620",-24.7175328176,118.7322424,180752.552991,"75","115",AUS.WA.GAS,Gascoyne,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"621",-24.3559738843,125.957451714,156290.052873,"9","116",AUS.WA.GD,Gibson Desert,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"622",-21.0318500164,124.86636774,295408.287278,"28","117",AUS.WA.GSD,Great Sandy Desert,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"623",-28.4971446308,114.91195285,38958.7175559,"606","118",AUS.WA.GSP,Geraldton Sandplains,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"624",-28.04735772,125.562588512,217942.010618,"18","119",AUS.WA.GVD,Great Victoria Desert,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"625",-31.9560799739,127.50369752,10429.5035235,"87","120",AUS.WA.HAM,Hampton,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"626",-33.4276259693,116.556587303,45079.5480277,"1389","121",AUS.WA.JF,Jarrah Forest,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"627",-23.9639416774,122.30505952,110899.173757,"29","122",AUS.WA.LSD,Little Sandy Desert,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
"628",-33.0347190657,120.603686924,73949.6534871,"451","123",AUS.WA.MAL,Mallee,"0",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"3","2","2412"
