OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id,tnorm
"741",-33.753900481,-71.1758508007,5147.9505893,"4","232",CHL.ME,Melipilla,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.078
"742",-53.0572928211,-71.6345902136,34067.9235726,"241","233",CHL.MG,Magallanes,"0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"1","2","2333",0.707
"743",-33.788002758,-70.7003436946,870.613487984,"24","234",CHL.MI,Maipo,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",2.757
"744",-38.2222432751,-71.9912864949,13939.5618989,"202","235",CHL.ML,Malleco,"0",CLC-LA,La Araucania,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.449
"745",-36.641884331,-71.9700417242,12593.0193269,"207","236",CHL.NU,Γuble,"0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.644
"746",-40.6974763695,-73.0470555399,9484.88484376,"129","237",CHL.OS,Osorno,"0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",1.360
"747",-32.3201698266,-71.0258589671,4242.06314118,"78","238",CHL.PE,Petorca,"0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.839
"748",-42.9791935593,-72.4861003215,10411.1916743,"4","239",CHL.PL,Palena,"0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.038
"749",-18.2991266524,-69.4171122315,9048.41115648,"9","240",CHL.PR,Parinacota,"0",CLN-TA,Tarapaca,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.099
"750",-32.8717519213,-71.2133941877,1725.21167573,"166","241",CHL.QU,Quillota,"0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",9.622
"751",-33.6478286206,-78.8489840684,52.7900702501,"191","242",CHL.RCI,"Robinso Crusoe Island, Juan Fernandez Islands","1",JNF-OO,Juan FernΒ ndez Is.,JNF,"85","8",Southern America,CHL,Chile,"3","1","82",361.810
"752",-33.6558682711,-71.5721345462,1688.2454464,"130","243",CHL.SA,San Antonio,"0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",7.700
"753",-33.7064561671,-78.9423628718,2.65002626861,"25","244",CHL.SCI,"Santa Clara Island, Juan Fernadez Islands","1",JNF-OO,Juan FernΒ ndez Is.,JNF,"85","8",Southern America,CHL,Chile,"3","1","82",943.387
"754",-32.6030736843,-70.7316627354,2793.56812028,"73","245",CHL.SF,San Felipe de Aconcagua,"0",CLC-VA,ValparaΒ‘so,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",2.613
"755",-33.3038434915,-70.5044438972,1419.8974784,"294","246",CHL.SG,Santiago,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",20.706
"756",-35.5379158429,-71.3960948428,11064.1856212,"151","247",CHL.TC,Talca,"0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.365
"757",-33.6286794624,-70.8237109516,542.122803193,"9","248",CHL.TG,Talagante,"0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.660
"758",-53.6260851396,-69.5162011145,21530.4078116,"65","249",CHL.TI,Tierra del Fuego,"1",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385",0.302
"759",-22.0492379181,-69.6021954238,16505.5902776,"11","250",CHL.TO,Tocopilla,"0",CLN-AN,Antofagasta,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",0.067
"760",-50.8603943445,-73.903516441,37969.3198954,"90","251",CHL.UE,Γltima Esperanza,"0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.237
