OBJIDsic,Region_unique,yearGDP,GDPpcRegion
1159,RUS_Makanrushi_1159,,uninhabited
264,RUS_Magadan_Region_264,2010,21917.00
262,RUS_Lower_Don_262,2010,15062.00
1173,RUS_Lipetzk_District_1173,2010,12891.06
1172,RUS_Leningrad_District_1172,2010,19660.75
252,RUS_Lena_Kolyma_252,2010,15062.00
244,RUS_Ladoga_Ilmen_244,2010,19660.75
237,RUS_Kuznetsk_Depression_237,2010,13371.62
236,RUS_Kuznetsk_Alatau_west_region_236,2010,13372.00
235,RUS_Kuznetsk_Alatau_north_region_235,2010,13372.00
234,RUS_Kuznetsk_Alatau_east_region_234,2010,10459.56
1158,RUS_Kunashir_1158,2010,18744.00
1180,RUS_Krasnoyarsky_Krai_1180,2010,15062.00
231,RUS_Krasnodar_231,2010,11474.72
230,RUS_Kolyvan_Tomsk_Plateau_west_region_230,2010,10755.00
229,RUS_Kolyvan_Tomsk_Plateau_east_region_229,2010,13372.00
1157,RUS_Kharimkotan_1157,,uninhabited
1151,RUS_Khabarovsk_1151,2010,15510.60
1156,RUS_Ketoi_1156,,uninhabited
1181,RUS_Kemerovo_Region_1181,2010,13372.00
219,RUS_Karelia_Lapland_219,2010,11759.01
218,RUS_Karachaevo_Cherkessia_218,2010,5414.41
215,RUS_Kamchatka_215,2010,18744.00
1170,RUS_Iuriy_1170,,uninhabited
1155,RUS_Iturup_1155,2010,18744.00
1179,RUS_Irkutsk_Oblast_1179,2010,13167.32
1154,RUS_Ekarma_1154,,uninhabited
119,RUS_Dvina_Pechora_119,2010,15062.00
1153,RUS_Demina_1153,,uninhabited
112,RUS_Dauria_112,2010,85250.80
109,RUS_Dagestan_109,2010,5864.24
89,RUS_Ciscaucasia_89,2010,15062.00
88,RUS_Chukotka_88,2010,49146.97
24,RUS_Arctic_Siberia_24,2010,15062.00
23,RUS_Arctic_European_23,2010,15062.00
1152,RUS_Anuchina_1152,,uninhabited
711,RUS_Antsiferova_711,,uninhabited
13,RUS_Angara_River_Sayans_13,2010,15062.00
11,RUS_Anadyr_11,2010,15062.00
9,RUS_Amur_Region_9,2010,12827.00
1178,RUS_Altai_Republic_1178,2010,6244.00
5,RUS_Altai_Krai_5,2010,7348.98
1150,ROU_Romania_1150,2010,9376.19
1149,QAT_Qatar_1149,2010,71510.20
1122,PYF_Tupai_1122,,uninhabited
1120,PYF_Tetiaroa_1120,2010,23583.00
1121,PYF_Tahiti_1121,2010,23583.00
1119,PYF_Tahaa_1119,2010,23583.00
1087,PYF_Rapa_1087,2010,23583.00
1118,PYF_Raiatea_1118,2010,23583.00
1109,PYF_Oeno_1109,,uninhabited
